STABR,SURVYEAR,TYPE,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,DPL,FLAG_P_DPL,FLAG_P_G,STNAME
NC,2010,TR,4720,4900,4734,4591,4447,4463,4409,4146,4549,3748,3181,2553,2439,A,A,North Carolina
ND,2010,TR,68,63,43,38,35,27,43,48,50,28,23,25,23,A,A,North Dakota
OH,2010,TR,7254,6787,6419,6293,6066,5663,5476,5046,5548,4548,3966,3465,3135,A,A,Ohio
OK,2010,TR,1882,1695,1591,1657,1574,1538,1572,1558,1251,1024,961,862,604,A,A,Oklahoma
OR,2010,TR,2044,1944,1844,1897,1971,1940,1828,1704,1871,1701,1585,1579,1298,A,A,Oregon
PA,2010,TR,3669,2854,2156,1898,1839,1727,1675,1376,1508,1278,1003,866,826,A,A,Pennsylvania
RI,2010,TR,341,287,297,285,286,237,242,263,229,190,176,149,136,A,A,Rhode Island
SC,2010,TR,1688,1507,1472,1398,1457,1159,1025,1027,1037,902,727,599,527,A,A,South Carolina
SD,2010,TR,185,130,104,103,99,96,74,70,79,49,53,50,52,A,A,South Dakota
TN,2010,TR,710,742,658,642,644,479,412,359,330,238,254,199,,A,,Tennessee
TX,2010,TR,6954,6418,6071,6065,5968,5849,5561,5389,5948,5288,4943,4163,4178,A,A,Texas
UT,2010,TR,421,413,369,350,351,353,325,280,310,283,239,217,225,A,A,Utah
VT,2010,TR,151,175,151,162,134,140,146,132,123,129,109,104,103,A,A,Vermont
VA,2010,TR,4619,4363,4193,4085,3887,3952,3747,3655,3765,3561,3006,2811,2712,A,A,Virginia
WA,2010,TR,4218,4124,3857,3913,3913,3770,3655,3433,3625,3301,2914,2593,2576,A,A,Washington
WV,2010,TR,329,192,162,162,158,112,85,79,94,78,34,47,45,A,A,West Virginia
WI,2010,TR,1197,1078,999,980,950,907,891,868,786,723,685,648,613,A,A,Wisconsin
WY,2010,TR,110,102,79,94,99,79,91,94,88,80,82,70,69,A,A,Wyoming
AL,2011,HP,45,23,33,30,27,14,19,19,21,15,19,15,13,A,A,Alabama
AK,2011,HP,263,250,228,206,233,204,233,212,196,191,224,210,150,A,A,Alaska
AZ,2011,HP,279,265,228,211,225,206,206,201,205,183,183,158,112,A,A,Arizona
AR,2011,HP,235,208,187,189,172,174,172,149,157,182,128,69,75,A,A,Arkansas
CA,2011,HP,2557,2579,2554,2647,2503,2728,2661,2807,2845,2767,3031,3064,2587,A,A,California
CO,2011,HP,138,133,149,116,116,133,147,122,147,143,146,132,105,A,A,Colorado
CT,2011,HP,39,26,29,24,27,27,25,31,24,22,29,24,21,A,A,Connecticut
DE,2011,HP,13,6,4,6,5,9,4,5,5,3,3,3,,A,,Delaware
DC,2011,HP,8,5,7,8,5,2,4,2,6,5,6,6,9,A,A,District of Columbia
FL,2011,HP,375,304,198,164,164,206,200,193,215,186,192,181,146,A,A,Florida
GA,2011,HP,145,124,143,135,122,108,128,146,176,148,96,91,75,A,A,Georgia
HI,2011,HP,5597,5438,5223,5128,4846,4892,4860,4422,5034,4320,3776,3214,3344,A,A,Hawaii
ID,2011,HP,62,81,68,77,78,64,71,78,65,92,74,84,75,A,A,Idaho
IL,2011,HP,176,135,154,126,126,142,117,185,168,134,145,113,110,A,A,Illinois
IN,2011,HP,60,33,35,43,31,40,35,37,49,35,50,33,31,A,A,Indiana
IA,2011,HP,67,64,54,54,53,60,53,44,57,44,55,40,37,A,A,Iowa
KS,2011,HP,66,59,60,58,45,51,65,62,60,58,45,34,36,A,A,Kansas
KY,2011,HP,54,37,41,34,51,31,36,41,35,37,25,29,27,A,A,Kentucky
LA,2011,HP,58,32,41,29,34,34,24,20,18,22,30,9,7,A,A,Louisiana
ME,2011,HP,13,19,15,13,15,18,11,11,12,16,14,10,14,A,A,Maine
MD,2011,HP,130,88,85,67,64,83,62,83,91,90,57,63,53,A,A,Maryland
MA,2011,HP,65,74,70,76,98,95,66,62,87,97,97,68,63,A,A,Massachusetts
MI,2011,HP,88,103,98,76,100,120,92,91,96,142,90,98,90,A,A,Michigan
MN,2011,HP,61,50,56,50,40,37,38,34,48,26,50,82,46,A,A,Minnesota
MS,2011,HP,18,26,9,6,9,5,13,6,4,15,6,3,,A,,Mississippi
MO,2011,HP,130,130,115,113,119,100,100,104,109,81,79,88,84,A,A,Missouri
MT,2011,HP,22,31,24,32,33,24,24,23,30,31,24,27,29,A,A,Montana
NE,2011,HP,35,23,16,27,28,19,25,31,19,31,19,33,31,A,A,Nebraska
NV,2011,HP,430,410,416,424,383,407,451,436,420,429,433,403,320,A,A,Nevada
NH,2011,HP,7,11,8,12,12,8,4,13,10,6,9,6,7,A,A,New Hampshire
NJ,2011,HP,308,244,291,264,208,196,199,214,190,195,219,193,161,A,A,New Jersey
NM,2011,HP,35,24,20,16,10,21,13,20,20,21,12,12,11,A,A,New Mexico
NY,2011,HP,503,440,409,321,329,358,334,347,414,317,247,200,181,A,A,New York
NC,2011,HP,131,65,82,81,81,92,88,96,99,71,72,70,82,A,A,North Carolina
ND,2011,HP,22,21,19,18,18,10,12,14,14,21,16,15,14,A,A,North Dakota
OH,2011,HP,80,60,47,65,49,56,44,44,64,67,48,44,44,A,A,Ohio
OK,2011,HP,163,132,141,142,134,116,126,112,110,113,98,69,94,A,A,Oklahoma
OR,2011,HP,324,304,276,286,262,263,300,258,261,276,254,293,215,A,A,Oregon
PA,2011,HP,54,76,67,73,71,103,74,61,79,78,81,75,76,A,A,Pennsylvania
RI,2011,HP,8,14,10,9,9,10,8,8,52,37,19,23,24,A,A,Rhode Island
